tweet_id,customer_query,expected_intent,expected_auto_handle,predicted_intent,predicted_auto_handle,predicted_draft_reply,predicted_escalation_reason,brand_reply_reference,llm_tone,llm_helpfulness,llm_groundedness,llm_reasoning,human_tone,human_helpfulness,human_groundedness
1598224,So you know that new SOS feature on the iPhone ? Well mine just popped off and I️ didn’t nothing to set it off . What’s going on @115858 ?,general_inquiry,True,software_update,True,It sounds like Emergency SOS auto‑activated. Go to Settings > Emergency SOS and toggle off “Auto‑Activate” or disable “Press Side Button 5 Times.” That stops it from triggering automatically. Let us know if it helps!,,@490889 We'd like to look into this with you. Could you please send us a DM so we can gather some info?,4.0,5.0,2.0,"The reply is polite and empathetic, offering clear steps to resolve the issue, so tone scores high. It directly addresses the customer’s concern about the SOS feature, providing actionable instructions, earning a top score for helpfulness. However, the reference reply only requested a DM for further investigation and did not mention disabling auto‑activate or the side‑button setting. By providing specific instructions not present in the reference, the reply risks hallucinating policy details, so groundedness is scored lower.",5,4,1
1981775,@AppleSupport any known issues with Game Center? I can not sign in with my iCloud (@1113.com) account,account_access,True,account_access,True,"Hi! Let’s get you back into Game Center. First, make sure you’re signed in to your Apple ID in Settings > Apple ID > iCloud. Then go to Settings > Game Center, sign out, and sign back in. If it still fails, try restarting your device. Let us know if that helps!",,@586608 Hi there! We're not showing any issues going on at the moment. Are you seeing an error at all? Please let us know the answer in DM.,5.0,5.0,5.0,"The draft reply is friendly and polite, offering clear troubleshooting steps that directly address the customer’s sign‑in issue. It does not introduce any new policies or misinformation, staying consistent with the reference reply’s stance that no widespread issues are known. Therefore, it scores high on all three criteria.",5,4,1
364721,@AppleSupport Thats wat i do but that works not always good...,general_inquiry,True,general_inquiry,True,"Could you share a bit more detail about the issue? Which device and iOS version are you using, and what steps have you tried so far?",,@202412 What kind of data is missing from your Watch backup? Send us a DM to let us know.,4.0,4.0,5.0,"The draft reply is polite and asks for clarification, which is appropriate and empathetic. It directly addresses the customer's vague statement by requesting more details, making it helpful. It does not introduce any new policies or incorrect information, so it is fully grounded.",5,5,4
1921556,@AppleSupport hi my iphone 7 stays like this for hours. What I can do,general_inquiry,False,app_bug_crash,True,"Hi! Let’s try a force restart: hold the side button + volume‑down until the Apple logo appears. If it stays stuck, check for an iOS update or restore. Let me know your iOS version and if the issue persists.",,"@572033 Thanks for reaching out, we'd be happy to look into this with you. To start, send us a DM and we'll continue from there.",4.0,5.0,3.0,"The draft reply is polite and friendly, earning a 4 on tone. It directly addresses the customer’s issue by offering concrete troubleshooting steps, so it scores a 5 for helpfulness. However, it introduces specific actions (force restart, iOS update, restore) that are not mentioned in the reference reply, which could be seen as adding information not grounded in the brand’s stated policy. Therefore, it receives a 3 for groundedness.",5,5,2
2063419,@AppleSupport where is the force touch in,general_inquiry,True,general_inquiry,True,"Force Touch (3D Touch) is on iPhone 6s and newer. On iPhone 7, press firmly on the screen to access shortcuts. On iPad, it’s not available. Which device are you using?",,@610269 We're happy to help. What device are you inquiring about?,4.0,5.0,5.0,"The draft reply is polite and friendly, though it omits a greeting like ""We're happy to help,"" so it scores a 4 on tone. It directly answers the customer’s question about where Force Touch is available, providing device-specific details, earning a 5 on helpfulness. The information given is factual and does not introduce any unsupported policies, so it receives a 5 on groundedness.",5,5,4
2093787,Will @115858 fix this I️ situation?! I’m tired of reading boxes,general_inquiry,True,keyboard_typing,True,"We’re aware of the I️ glitch that turns into a question‑mark box. Update to the latest iOS, try a different keyboard, or disable the I️ character in Settings > General > Keyboard. Let us know your iOS version for exact steps.",,@584626 Here’s what you can do to work around the issue until it’s fixed in a future software update:,4.0,5.0,3.0,"The draft is polite and offers concrete steps, so the tone is fairly good (4). It directly addresses the customer’s problem with actionable advice, earning a 5 for helpfulness. However, it introduces specific troubleshooting steps (disabling the I character, trying a different keyboard) that are not mentioned in the reference reply, which could be considered hallucinated or unsupported by the provided reference. Therefore the groundedness score is moderate (3).",5,5,4
1107374,@AppleSupport I’ve sent you a DM.,general_inquiry,True,general_inquiry,True,"Thanks for reaching out! We’ve received your DM and will continue the conversation there. If you need anything else, let us know.",,"@381358 We’ve received your DM, and we’ll respond from there shortly.",4.0,5.0,5.0,"The draft reply is polite and friendly, acknowledging the customer’s message and offering further assistance, which aligns with a supportive tone. It directly addresses the customer’s query by confirming receipt of the DM and indicating that the conversation will continue there, matching the reference reply. The response does not introduce any new policies or information not present in the reference reply, so it remains grounded.",5,5,5
545262,@AppleSupport hi I have an iPhone x that every 30 seconds or so is now re-locking itself. Even if I don’t unlock it to begin with or if I am actively using it. This fault developed in the middle of the night. Is it a known issue and what can be done to resolve? Thank you,general_inquiry,False,software_update,True,"Hi! This can happen if a recent iOS update has a bug. First, check for the latest update (Settings > General > Software Update) and install it. If the issue persists, try a force‑restart or reset all settings. Let us know if it helps!",,"@175804 Thank you for that information. Did this just start happening? Also, which iOS version is your device on?",4.0,4.0,5.0,"The draft reply is friendly and polite, showing a supportive tone, though it could be slightly more empathetic. It directly addresses the customer’s issue by suggesting practical troubleshooting steps, making it helpful. It does not introduce any policies or information that is absent from the reference reply, so it remains grounded.",5,5,3
1470701,"""Hey Siri"" works less than 10% of the time on latest iOS on latest iPhone hardware. I've set it up 4 times. @115858 iOS QA is garbage",audio_media,True,audio_media,True,"Hi! Let’s get Siri working again. Make sure Settings > Siri & Search has “Listen for ‘Hey Siri’” on, microphone access is granted, and your device is on the latest iOS. Try a quick restart or reset all settings. Need more help?",,@461365 We'd be happy to look at this with you. Does it work normally when pressing the home button?,4.0,4.0,5.0,"The draft uses a friendly, polite tone that feels like a supportive agent. It directly addresses the customer’s issue by listing concrete steps (checking settings, microphone access, iOS version, restart, reset settings) that are relevant to the problem. It does not introduce any policies or information that is not present in the reference reply, so it remains grounded.",5,5,3
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.",general_inquiry,True,keyboard_typing,True,"We’ve seen the “it” → “I.T.” autocorrect glitch. Try disabling predictive text: Settings > General > Keyboard, toggle off Predictive. If it persists, update to the latest iOS. Let us know your iOS version for precise steps.",,@344743 Let's look into this further via DM. Please confirm the version of iOS you're running to get started.,4.0,5.0,5.0,"The reply is polite and empathetic, offering a clear solution and asking for the iOS version, which aligns with the reference. It directly addresses the customer’s issue, providing actionable steps, so it scores high on helpfulness. It does not introduce any unsupported policies or misinformation beyond the reference, so it remains grounded.",5,5,3
